Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment
"Overweight, adults aged 18+",,2022,,Global,Total,,43.494305,42.871901,44.140121,
"Overweight, adults aged 18+",,2022,,Global,Males,,43.058437,42.092445,44.033659,
"Overweight, adults aged 18+",,2022,,Global,Females,,43.868381,43.06533,44.706288,
"Overweight, adults aged 18+",,2022,Afghanistan,Eastern Mediterranean Region,Total,,48.573643,44.941038,52.150345,
"Overweight, adults aged 18+",,2022,Afghanistan,Eastern Mediterranean Region,Males,,44.066808,38.980424,49.147475,
"Overweight, adults aged 18+",,2022,Afghanistan,Eastern Mediterranean Region,Females,,52.739787,47.680929,57.825017,
"Overweight, adults aged 18+",,2022,African Region,African Region,Total,,31.275705,30.277082,32.268777,
"Overweight, adults aged 18+",,2022,African Region,African Region,Males,,23.563458,22.022586,25.080854,
"Overweight, adults aged 18+",,2022,African Region,African Region,Females,,38.646865,37.3014,39.976826,
"Overweight, adults aged 18+",,2022,Albania,European Region,Total,,62.162423,59.013712,65.20794,
"Overweight, adults aged 18+",,2022,Albania,European Region,Males,,66.451937,61.717647,70.920122,
"Overweight, adults aged 18+",,2022,Albania,European Region,Females,,57.689089,53.427809,61.814481,
"Overweight, adults aged 18+",,2022,Algeria,African Region,Total,,57.620394,53.764302,61.347038,
"Overweight, adults aged 18+",,2022,Algeria,African Region,Males,,50.271928,44.48525,55.784333,
"Overweight, adults aged 18+",,2022,Algeria,African Region,Females,,65.192717,60.190582,70.035809,
"Overweight, adults aged 18+",,2022,American Samoa,Western Pacific Region,Total,,91.408622,86.968035,94.788098,
"Overweight, adults aged 18+",,2022,American Samoa,Western Pacific Region,Males,,89.94506,82.75165,95.1065,
"Overweight, adults aged 18+",,2022,American Samoa,Western Pacific Region,Females,,92.608827,86.901158,96.508312,
"Overweight, adults aged 18+",,2022,Andorra,European Region,Total,,48.170242,40.931711,55.183142,
"Overweight, adults aged 18+",,2022,Andorra,European Region,Males,,56.528562,46.022075,66.692001,
"Overweight, adults aged 18+",,2022,Andorra,European Region,Females,,39.250585,29.683819,49.24809,
