Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,PPP dollar per person per day,3.04,E,3.13,E,3.32,E,3.4,E,3.55,E,4.19,E
3,'008,Albania,7007,Cost of starchy staples,6226,Value,PPP dollar per person per day,0.6,E,,,,,,,0.48,E,,
3,'008,Albania,7008,Cost of animal source foods,6226,Value,PPP dollar per person per day,1.2,E,,,,,,,1.15,E,,
3,'008,Albania,7009,"Cost of legumes, nuts and seeds",6226,Value,PPP dollar per person per day,0.44,E,,,,,,,0.42,E,,
3,'008,Albania,7010,Cost of vegetables,6226,Value,PPP dollar per person per day,0.71,E,,,,,,,0.61,E,,
3,'008,Albania,7011,Cost of fruits,6226,Value,PPP dollar per person per day,0.91,E,,,,,,,0.78,E,,
3,'008,Albania,7012,Cost of oils and fats,6226,Value,PPP dollar per person per day,0.09,E,,,,,,,0.11,E,,
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,%,24.3,E,17.5,E,15.3,E,14.1,E,12.6,E,12.2,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,million No,0.7,E,0.5,E,0.4,E,0.4,E,0.4,E,0.3,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,PPP dollar per person per day,4.06,E,4.13,E,4.1,E,4.06,E,4.36,E,4.89,E
4,'012,Algeria,7007,Cost of starchy staples,6226,Value,PPP dollar per person per day,0.5,E,,,,,,,0.54,E,,
4,'012,Algeria,7008,Cost of animal source foods,6226,Value,PPP dollar per person per day,0.96,E,,,,,,,1.33,E,,
4,'012,Algeria,7009,"Cost of legumes, nuts and seeds",6226,Value,PPP dollar per person per day,0.49,E,,,,,,,0.57,E,,
4,'012,Algeria,7010,Cost of vegetables,6226,Value,PPP dollar per person per day,0.7,E,,,,,,,0.7,E,,
4,'012,Algeria,7011,Cost of fruits,6226,Value,PPP dollar per person per day,0.98,E,,,,,,,1.07,E,,
4,'012,Algeria,7012,Cost of oils and fats,6226,Value,PPP dollar per person per day,0.13,E,,,,,,,0.15,E,,
