country,year,rural_pop_pct,gini_reported,q1,q2,q3,q4,q5,pop_gdp,population count,rural_pop,urban_pop,staple_demand,region_un,oecd_member,incomegroup,Area Code,Item Code,Item,Unit,Y2017,Y2021
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.21,3.66
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7007,Cost of starchy staples,PPP dollar per person per day,0.54,0.57
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7008,Cost of animal source foods,PPP dollar per person per day,0.97,1.0
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.54,0.39
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7010,Cost of vegetables,PPP dollar per person per day,0.43,0.58
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7011,Cost of fruits,PPP dollar per person per day,0.49,0.88
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7012,Cost of oils and fats,PPP dollar per person per day,0.12,0.24
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7005,Percentage of the population unable to afford a healthy diet (percent),%,49.3,54.1
Armenia,2017,36.897,33.62,8.38,12.36,15.91,20.94,42.4,8745.0,2944789.0,1086538.8,1858250.0,0.0,Asia,Non-OECD,Upper middle income,1,7006,Number of people unable to afford a healthy diet (million),million No,1.4,1.5
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,2.06,2.43
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7007,Cost of starchy staples,PPP dollar per person per day,0.23,0.27
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7008,Cost of animal source foods,PPP dollar per person per day,0.61,0.55
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.36,0.1
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7010,Cost of vegetables,PPP dollar per person per day,0.7,0.73
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7011,Cost of fruits,PPP dollar per person per day,0.82,0.72
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7012,Cost of oils and fats,PPP dollar per person per day,0.05,0.06
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7005,Percentage of the population unable to afford a healthy diet (percent),%,2.5,3.4
Austria,2017,41.906,27.9,8.5,14.2,18.0,22.7,36.6,45378.0,8819902.0,3696068.1,5123834.0,1.057751253,Europe,OECD,High income,11,7006,Number of people unable to afford a healthy diet (million),million No,0.2,0.3
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.13,3.42
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7007,Cost of starchy staples,PPP dollar per person per day,0.51,0.61
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7008,Cost of animal source foods,PPP dollar per person per day,0.83,0.87
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.64,0.27
